Unnamed: 0,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_PM2.5,AQI_PM10,AQI_O3,AQI_CO,AQI_SO2,AQI_NO2,Air_Quality,Air_Quality_Category,Year,Month,Day,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed
2659,London,UK,128.78,71.87,99.22,40.83,9.07,34.3,-1.57,92.27,16.91,188.83688092729187,59.349797979797984,,96.7,57.068461538461534,99.1691304347826,188.83688092729187,Unhealthy,2023,1,6,14.04,10.45
2660,Bangkok,Thailand,43.86,92.97,52.47,17.26,1.79,17.78,-0.61,91.67,12.07,121.58492462311558,69.79323232323233,,20.34090909090909,24.65714285714286,49.5,121.58492462311558,Poor,2023,12,23,14.64,11.4
2661,Tokyo,Japan,42.87,181.7,58.03,17.47,4.28,98.36,-0.19,23.26,10.55,119.14723618090451,114.2151515151515,,48.63636363636364,24.957142857142856,55.29282608695653,119.14723618090451,Poor,2023,1,18,13.34,10.8
2662,New York,USA,47.84,11.51,20.38,9.13,4.51,64.54,9.99,60.61,0.94,131.38492462311558,10.657407407407408,,51.1,13.042857142857144,19.22641509433962,131.38492462311558,Poor,2023,7,27,12.59,10.39
2663,Seoul,South Korea,5.98,171.35,90.94,39.11,4.27,145.65,7.54,54.14,9.41,24.91666666666667,109.09242424242424,,48.52272727272727,54.907435897435896,90.3491304347826,109.09242424242424,Poor,2023,4,6,14.31,11.81
2664,New York,USA,55.61,79.8,77.67,32.39,3.44,46.68,18.2,79.19,0.84,151.0567966280295,63.27474747474747,,39.090909090909086,46.27142857142857,76.21369565217393,151.0567966280295,Unhealthy,2023,9,17,14.04,10.18
2665,Los Angeles,USA,78.84,139.57,68.45,49.83,1.83,45.97,36.46,53.17,9.09,163.05121180189673,92.8578787878788,,20.795454545454547,68.37615384615384,66.39239130434783,163.05121180189673,Unhealthy,2023,12,10,17.73,9.8
2666,Beijing,China,53.43,54.11,37.71,15.07,9.77,180.1,3.42,26.23,10.26,145.1492462311558,,,105.56206896551724,21.52857142857143,35.57547169811321,145.1492462311558,Poor,2023,3,8,14.74,10.63
2667,Madrid,Spain,102.82,20.4,77.55,15.09,6.91,54.75,32.26,28.94,8.16,175.43287671232878,18.88888888888889,,75.1,21.557142857142857,76.0858695652174,175.43287671232878,Unhealthy,2023,4,10,15.97,10.94
2668,Mumbai,India,112.55,164.22,10.1,45.35,0.13,114.74,-9.24,28.93,14.44,180.4567966280295,105.56343434343434,,1.4772727272727273,62.7474358974359,9.528301886792452,180.4567966280295,Unhealthy,2023,2,12,15.35,8.37
2669,Mumbai,India,129.5,151.2,25.48,33.77,8.71,55.13,4.52,44.53,1.19,189.2086406743941,98.6141414141414,,93.1,48.24285714285715,24.03773584905661,189.2086406743941,Unhealthy,2023,2,20,15.35,8.37
2670,Seoul,South Korea,88.86,33.74,97.98,3.42,2.9,62.79,-6.03,25.11,5.64,168.22486828240253,31.240740740740744,,32.95454545454545,4.885714285714286,97.84826086956522,168.22486828240253,Unhealthy,2023,12,9,15.45,10.79
2671,Seoul,South Korea,61.4,194.74,70.29,12.12,8.65,117.17,-3.34,94.41,5.81,154.0463645943098,120.66929292929294,,92.5,17.314285714285713,68.35239130434783,154.0463645943098,Unhealthy,2023,1,14,11.62,10.14
2672,London,UK,111.85,100.01,42.74,2.01,0.93,96.79,4.76,71.62,2.25,180.09536354056902,73.27767676767677,,10.568181818181818,2.871428571428571,40.320754716981135,180.09536354056902,Unhealthy,2023,5,8,16.1,10.59
2673,Sydney,Australia,97.4,141.26,30.03,10.05,1.68,163.48,33.23,39.01,5.88,172.63435194942045,93.69434343434344,,19.09090909090909,14.357142857142858,28.330188679245285,172.63435194942045,Unhealthy,2023,9,14,10.87,10.39
2674,Cairo,Egypt,73.9,173.9,94.68,1.84,6.34,185.08,19.79,95.75,1.08,160.50052687038988,110.35454545454546,,69.4,2.628571428571429,94.33304347826088,160.50052687038988,Unhealthy,2023,3,15,14.3,10.02
2675,Sydney,Australia,88.85,77.75,87.27,37.82,7.8,113.14,31.09,78.9,3.22,168.21970495258165,62.26010101010101,,84.0,53.28666666666667,86.43978260869565,168.21970495258165,Unhealthy,2023,8,9,15.83,10.33
2676,Toronto,Canada,77.63,72.84,49.6,43.12,6.45,56.29,1.27,78.61,5.1,162.42644889357217,59.82989898989899,,70.5,59.945641025641024,46.79245283018868,162.42644889357217,Unhealthy,2023,8,20,13.52,8.97
2677,Tokyo,Japan,100.64,148.24,42.12,29.1,1.87,123.65,23.77,91.69,17.31,174.3072708113804,97.14909090909092,,21.25,41.57142857142858,39.73584905660377,174.3072708113804,Unhealthy,2023,7,9,13.33,10.58
2678,London,UK,112.9,146.53,43.95,4.84,2.85,151.18,24.08,58.3,5.1,180.6375131717597,96.30272727272728,,32.38636363636363,6.914285714285715,41.4622641509434,180.6375131717597,Unhealthy,2023,5,13,16.1,10.59
2679,Sydney,Australia,116.43,140.13,18.56,47.55,1.46,33.83,38.55,90.22,5.06,182.4601685985248,93.13505050505051,,16.59090909090909,65.51153846153846,17.50943396226415,182.4601685985248,Unhealthy,2023,7,13,14.3,9.01
2680,Berlin,Germany,115.08,67.61,32.98,2.39,9.61,175.0,-0.16,94.73,15.38,181.7631190727081,57.241313131313134,,102.85862068965515,3.4142857142857146,31.113207547169807,181.7631190727081,Unhealthy,2023,9,23,14.68,11.83
2681,Istanbul,Turkey,93.71,88.1,14.59,10.31,0.64,122.78,11.46,51.08,16.58,170.7290832455216,67.38282828282829,,7.272727272727272,14.72857142857143,13.764150943396226,170.7290832455216,Unhealthy,2023,11,11,16.73,11.19
2682,Los Angeles,USA,23.91,97.33,5.26,42.39,5.99,127.49,25.26,27.83,7.56,75.83648068669528,71.95121212121212,,65.9,59.02846153846154,4.962264150943396,75.83648068669528,Moderate,2023,8,1,11.86,9.92
2683,Moscow,Russia,34.6,16.71,8.23,4.15,9.8,150.22,9.51,46.42,8.36,98.3175965665236,15.472222222222223,,106.0689655172414,5.928571428571429,7.764150943396227,106.0689655172414,Poor,2023,8,24,13.72,9.61
2684,Los Angeles,USA,66.7,152.1,39.91,1.42,9.42,120.5,26.4,39.55,17.71,156.78292939936776,99.05959595959597,,,2.0285714285714285,37.65094339622641,156.78292939936776,Unhealthy,2023,10,6,14.02,10.27
2685,Mexico City,Mexico,22.51,136.28,79.52,46.06,9.07,118.12,17.61,93.82,2.77,72.89227467811159,91.22949494949496,,96.7,63.63948717948718,78.18434782608695,96.7,Moderate,2023,5,21,14.2,11.91
2686,Mexico City,Mexico,123.88,29.62,67.04,8.41,7.46,183.91,8.12,48.95,7.65,186.3068493150685,27.425925925925927,,80.6,12.014285714285714,64.89043478260871,186.3068493150685,Unhealthy,2023,10,25,16.43,9.97
2687,Mexico City,Mexico,19.11,18.45,76.75,19.63,5.65,124.11,4.77,39.59,15.22,65.74206008583691,17.083333333333332,,62.5,28.04285714285714,75.2336956521739,75.2336956521739,Moderate,2023,3,21,14.92,10.36
2688,Los Angeles,USA,89.0,178.43,15.89,28.89,0.76,92.4,-4.85,40.4,13.9,168.29715489989462,112.59666666666666,,8.636363636363637,41.27142857142857,14.99056603773585,168.29715489989462,Unhealthy,2023,9,26,15.62,9.11
2689,Tokyo,Japan,100.79,116.83,21.19,27.46,2.37,21.69,-9.88,82.45,4.17,174.38472075869336,81.60272727272726,,26.931818181818183,39.22857142857143,19.99056603773585,174.38472075869336,Unhealthy,2023,1,11,13.34,10.8
2690,Dubai,UAE,41.8,74.49,59.48,28.63,6.2,167.95,5.37,43.48,5.79,116.51256281407036,60.646565656565656,,68.0,40.9,56.83739130434783,116.51256281407036,Poor,2023,12,5,15.24,10.32
2691,Paris,France,119.06,140.68,89.24,42.91,9.66,29.47,36.57,93.8,1.65,183.818124341412,93.40727272727273,,103.70344827586209,59.681794871794864,88.53826086956522,183.818124341412,Unhealthy,2023,10,8,15.27,9.07
2692,Berlin,Germany,115.82,53.11,88.64,9.39,7.79,145.69,30.37,43.12,19.35,182.14520547945204,49.17592592592592,,83.9,13.414285714285716,87.89913043478262,182.14520547945204,Unhealthy,2023,12,17,15.49,10.71
2693,London,UK,92.0,177.52,23.99,22.88,6.38,104.25,35.6,55.83,2.01,169.84615384615384,112.14626262626264,,69.8,32.68571428571428,22.632075471698112,169.84615384615384,Unhealthy,2023,11,24,13.48,9.29
2694,Seoul,South Korea,116.87,179.73,73.44,4.03,4.99,188.55,10.17,29.94,0.82,182.6873551106428,113.240101010101,,55.900000000000006,5.757142857142858,71.70782608695652,182.6873551106428,Unhealthy,2023,11,2,16.33,9.35
2695,Madrid,Spain,102.09,97.31,92.44,1.48,2.85,170.44,31.46,72.86,19.92,175.0559536354057,71.94131313131314,,32.38636363636363,2.1142857142857143,91.94695652173914,175.0559536354057,Unhealthy,2023,7,18,13.26,10.9
2696,New York,USA,111.7,124.36,22.17,24.81,3.55,27.46,34.17,75.04,14.57,180.01791359325605,85.32969696969697,,40.340909090909086,35.44285714285714,20.915094339622645,180.01791359325605,Unhealthy,2023,3,3,14.13,11.42
2697,Sydney,Australia,68.59,110.7,75.77,42.99,7.41,191.86,7.79,89.04,0.68,157.75879873551108,78.56868686868687,,80.1,59.7823076923077,74.18978260869565,157.75879873551108,Unhealthy,2023,2,1,9.74,10.33
2698,Madrid,Spain,120.32,53.73,77.63,28.8,1.13,13.35,27.97,16.38,6.64,184.4687038988409,49.75,,12.84090909090909,41.142857142857146,76.17108695652173,184.4687038988409,Unhealthy,2023,9,12,20.11,9.33
2699,Bangkok,Thailand,43.25,169.24,91.17,37.77,7.56,40.05,21.99,69.0,9.45,120.08291457286433,108.0480808080808,,81.6,53.22384615384616,90.5941304347826,120.08291457286433,Poor,2023,7,6,14.56,10.49
2700,Madrid,Spain,138.52,136.71,6.43,38.03,6.56,105.13,16.34,19.22,15.4,193.8659641728135,91.44232323232325,,71.6,53.55051282051282,6.066037735849056,193.8659641728135,Unhealthy,2023,4,8,15.97,10.94
2701,Rio de Janeiro,Brazil,100.34,24.16,29.34,3.0,6.3,53.74,18.87,64.78,5.6,174.15237091675448,22.37037037037037,,69.0,4.285714285714286,27.67924528301887,174.15237091675448,Unhealthy,2023,6,16,13.43,11.22
2702,Seoul,South Korea,114.66,107.69,86.87,48.36,6.9,116.21,39.14,86.94,7.48,181.54625922023183,77.07888888888888,,75.0,66.52923076923076,86.01369565217392,181.54625922023183,Unhealthy,2023,10,20,16.89,10.33
2703,Berlin,Germany,34.66,171.12,48.21,44.72,4.41,36.81,15.97,54.93,16.08,98.44377682403432,108.97858585858586,,,61.95589743589744,45.4811320754717,108.97858585858586,Poor,2023,4,7,12.74,10.2
2704,Bangkok,Thailand,63.69,89.79,18.92,28.85,3.17,92.89,23.25,43.07,6.36,155.22876712328767,68.21929292929293,,36.02272727272727,41.21428571428572,17.849056603773587,155.22876712328767,Unhealthy,2023,4,2,12.61,11.02
2705,New York,USA,95.32,185.59,28.3,46.29,1.56,23.98,27.01,32.09,19.68,171.56037934668072,116.14050505050506,,17.727272727272727,63.928461538461534,26.69811320754717,171.56037934668072,Unhealthy,2023,1,3,15.57,10.15
2706,Berlin,Germany,43.31,195.63,67.55,22.95,3.7,148.91,38.83,31.6,19.62,120.23065326633169,121.10979797979796,,42.04545454545455,32.785714285714285,65.43369565217391,121.10979797979796,Poor,2023,8,17,16.23,10.34
2707,Sydney,Australia,115.97,167.29,16.63,34.2,0.31,45.44,-7.45,93.1,4.69,182.22265542676504,107.0829292929293,,3.5227272727272725,48.85714285714286,15.688679245283016,182.22265542676504,Unhealthy,2023,5,6,16.4,9.04
2708,Dubai,UAE,109.94,40.89,57.33,44.31,1.41,148.37,-8.51,46.18,3.6,179.109167544784,37.86111111111112,,16.02272727272727,61.440769230769234,54.54717391304348,179.109167544784,Unhealthy,2023,10,20,12.55,9.61
2709,Dubai,UAE,28.02,13.44,45.89,30.86,6.59,65.84,25.89,66.71,2.88,84.47982832618027,12.444444444444445,,71.9,44.08571428571429,43.29245283018868,84.47982832618027,Moderate,2023,5,13,16.25,11.08
2710,Berlin,Germany,99.2,193.14,52.85,4.24,1.07,65.07,30.48,21.27,4.87,173.56375131717598,119.87737373737372,,12.15909090909091,6.057142857142858,49.85849056603774,173.56375131717598,Unhealthy,2023,7,15,17.99,10.02
2711,Bangkok,Thailand,96.62,107.83,74.82,34.97,7.42,198.33,12.29,64.91,7.49,172.23161222339306,77.14818181818183,,80.2,49.957142857142856,73.17782608695651,172.23161222339306,Unhealthy,2023,7,8,14.56,10.49
2712,New York,USA,50.78,153.24,37.57,4.65,5.54,187.62,8.92,90.39,3.79,138.6241206030151,99.6238383838384,,61.4,6.642857142857143,35.443396226415096,138.6241206030151,Poor,2023,4,22,13.33,7.6
2713,Paris,France,74.7,36.99,27.7,33.64,3.5,51.56,32.23,70.72,12.88,160.91359325605902,34.25,,39.77272727272727,48.05714285714286,26.132075471698112,160.91359325605902,Unhealthy,2023,7,14,15.15,10.3
2714,Madrid,Spain,56.53,64.7,94.38,28.45,6.32,164.61,4.21,65.32,3.53,151.531822971549,55.8010101010101,,69.2,40.642857142857146,94.01347826086956,151.531822971549,Unhealthy,2023,3,25,14.38,10.02
2715,Seoul,South Korea,109.84,63.66,89.89,7.73,0.3,152.67,-7.1,51.47,19.08,179.05753424657536,55.28626262626263,,3.4090909090909087,11.042857142857144,89.23065217391304,179.05753424657536,Unhealthy,2023,2,24,14.47,10.28
2716,Paris,France,35.35,165.24,20.61,15.66,9.75,177.03,32.01,78.34,7.34,99.89484978540771,106.06828282828285,,105.22413793103448,22.371428571428574,19.443396226415093,106.06828282828285,Poor,2023,10,20,15.27,9.07
2717,Paris,France,117.58,179.48,87.57,24.95,5.55,189.3,18.22,87.75,6.56,183.0539515279241,113.11636363636364,,61.5,35.642857142857146,86.75934782608695,183.0539515279241,Unhealthy,2023,9,19,11.91,9.29
2718,New York,USA,9.07,119.2,5.71,9.07,7.57,175.19,-2.99,49.01,4.23,37.79166666666667,82.77575757575758,,81.7,12.957142857142856,5.386792452830189,82.77575757575758,Moderate,2023,10,26,14.43,10.45
2719,Toronto,Canada,93.31,42.01,9.82,2.11,0.74,56.5,16.65,49.99,14.12,170.52255005268705,38.89814814814815,,8.409090909090908,3.0142857142857142,9.264150943396228,170.52255005268705,Unhealthy,2023,8,23,13.52,8.97
2720,Dubai,UAE,123.67,186.24,87.39,13.17,5.14,152.31,11.63,93.56,17.58,186.1984193888304,116.46222222222222,,57.4,18.814285714285717,86.56760869565218,186.1984193888304,Unhealthy,2023,1,6,15.22,9.51
2721,Mumbai,India,142.05,185.29,7.11,7.27,0.81,179.85,29.63,49.99,12.27,195.6886195995785,115.9920202020202,,9.204545454545457,10.385714285714286,6.707547169811321,195.6886195995785,Unhealthy,2023,7,25,13.77,11.16
2722,Mumbai,India,36.63,18.37,50.92,13.04,0.24,50.02,18.67,96.16,19.65,103.78241206030152,17.00925925925926,,2.727272727272727,18.628571428571423,48.03773584905661,103.78241206030152,Poor,2023,9,27,12.59,9.41
2723,Toronto,Canada,129.55,167.85,67.02,23.41,9.11,135.51,37.87,73.81,5.26,189.2344573234984,107.360101010101,,97.1,33.44285714285714,64.8691304347826,189.2344573234984,Unhealthy,2023,6,9,16.31,10.24
2724,Madrid,Spain,17.46,179.76,48.39,34.57,8.71,99.65,24.88,34.64,9.28,62.27210300429185,113.25494949494949,,93.1,49.385714285714286,45.65094339622642,113.25494949494949,Poor,2023,7,18,13.26,10.9
2725,Seoul,South Korea,26.67,142.33,65.04,8.86,3.11,48.54,12.06,58.89,17.37,81.64077253218885,94.2239393939394,,35.340909090909086,12.657142857142857,62.760000000000005,94.2239393939394,Moderate,2023,4,20,14.31,11.81
2726,Mexico City,Mexico,17.68,120.26,10.35,37.8,9.77,178.12,27.81,54.4,16.86,62.73476394849786,83.30040404040405,,105.56206896551724,53.26153846153846,9.764150943396226,105.56206896551724,Poor,2023,7,24,19.55,12.09
2727,Mumbai,India,9.26,76.75,8.38,7.21,1.64,50.21,7.37,41.66,1.85,38.583333333333336,61.76515151515152,,18.636363636363637,10.3,7.905660377358491,61.76515151515152,Moderate,2023,5,6,17.26,9.48
2728,Moscow,Russia,70.46,79.9,65.89,35.09,4.55,147.75,10.35,48.33,17.3,158.72434141201265,63.32424242424243,,51.5,,63.6654347826087,158.72434141201265,Unhealthy,2023,4,8,16.75,10.32
2729,Mumbai,India,113.0,52.02,6.25,33.85,5.0,90.52,11.03,99.29,9.22,180.6891464699684,48.16666666666667,,56.0,48.35714285714286,5.89622641509434,180.6891464699684,Unhealthy,2023,9,13,12.59,9.41
2730,Moscow,Russia,38.66,17.11,50.48,2.19,6.51,36.65,15.31,80.58,9.0,108.78090452261306,15.842592592592592,,71.1,3.128571428571429,47.62264150943396,108.78090452261306,Poor,2023,5,12,14.33,11.16
2731,Paris,France,123.75,172.8,82.47,38.87,0.64,10.82,24.51,50.75,6.45,186.23972602739727,109.81010101010102,,7.272727272727272,54.60589743589743,81.32673913043479,186.23972602739727,Unhealthy,2023,9,27,11.91,9.29
2732,Bangkok,Thailand,55.0,160.47,20.94,18.86,2.98,156.34,0.74,28.47,3.16,149.01507537688445,103.70737373737374,,33.86363636363636,26.942857142857143,19.75471698113208,149.01507537688445,Poor,2023,10,8,12.07,9.94
2733,Berlin,Germany,69.23,98.0,59.84,28.32,7.19,45.16,-2.13,36.89,14.94,158.08925184404637,72.28282828282829,,77.9,40.457142857142856,57.2208695652174,158.08925184404637,Unhealthy,2023,5,20,12.69,10.41
2734,Cairo,Egypt,107.02,44.8,21.57,9.79,3.23,47.11,23.34,34.42,1.55,177.60147523709168,41.48148148148148,,36.70454545454545,13.985714285714284,20.349056603773587,177.60147523709168,Unhealthy,2023,1,2,14.81,9.3
2735,Madrid,Spain,16.15,98.7,97.9,10.09,5.95,95.33,-0.16,39.13,1.41,59.51716738197425,72.62929292929293,,65.5,14.414285714285716,97.76304347826088,97.76304347826088,Moderate,2023,5,14,11.02,9.85
2736,Berlin,Germany,145.11,65.84,80.16,11.16,6.59,166.9,26.13,63.22,16.97,197.2685985247629,56.36525252525253,,71.9,15.942857142857145,78.86608695652174,197.2685985247629,Unhealthy,2023,4,13,12.74,10.2
2737,Toronto,Canada,28.78,22.44,65.47,21.3,3.1,183.33,13.38,68.31,1.32,86.07811158798285,20.77777777777778,,35.22727272727273,30.42857142857143,63.21804347826087,86.07811158798285,Moderate,2023,5,14,15.6,10.43
2738,Mexico City,Mexico,24.86,10.79,50.82,12.33,8.57,198.04,14.75,10.4,12.15,77.8343347639485,9.99074074074074,,91.7,17.614285714285714,47.943396226415096,91.7,Moderate,2023,2,1,17.56,9.83
2739,Paris,France,62.44,40.4,46.43,27.55,1.56,37.09,28.84,45.62,7.17,154.58335089567967,37.407407407407405,,17.727272727272727,39.35714285714286,43.801886792452834,154.58335089567967,Unhealthy,2023,2,3,15.58,10.26
2740,Madrid,Spain,147.75,110.58,42.28,46.57,5.21,155.64,34.1,15.62,5.81,198.63171759747104,78.50929292929293,,58.1,64.28025641025641,39.88679245283019,198.63171759747104,Unhealthy,2023,2,17,19.28,9.85
2741,Toronto,Canada,117.02,39.73,37.93,35.02,8.52,129.9,36.32,18.34,10.2,182.76480505795573,36.78703703703703,,91.2,,35.783018867924525,182.76480505795573,Unhealthy,2023,4,24,15.35,10.39
2742,Toronto,Canada,138.89,166.37,25.28,38.98,7.52,151.64,23.81,25.4,10.53,194.05700737618545,106.62757575757576,,81.19999999999999,54.74410256410256,23.849056603773587,194.05700737618545,Unhealthy,2023,6,24,16.31,10.24
2743,Mexico City,Mexico,65.95,153.19,83.97,12.3,6.43,138.84,4.59,72.58,1.17,156.39567966280296,99.5990909090909,,70.3,17.571428571428573,82.9245652173913,156.39567966280296,Unhealthy,2023,12,10,16.69,9.14
2744,Tokyo,Japan,120.81,137.26,22.53,45.66,4.28,104.94,29.88,75.08,2.79,184.72170706006324,91.71454545454546,,48.63636363636364,63.13692307692307,21.25471698113208,184.72170706006324,Unhealthy,2023,5,14,15.57,10.61
2745,Cairo,Egypt,36.63,96.81,52.21,38.41,4.98,146.44,17.19,48.38,14.5,103.78241206030152,71.69383838383838,,55.8,54.02794871794871,49.25471698113208,103.78241206030152,Poor,2023,9,24,12.59,9.66
2746,Beijing,China,15.27,25.36,89.5,23.14,1.38,134.99,32.84,13.86,10.97,57.66652360515022,23.48148148148148,,15.68181818181818,33.05714285714286,88.81521739130434,88.81521739130434,Moderate,2023,9,8,14.41,10.63
2747,Berlin,Germany,30.75,22.15,15.28,42.37,2.67,195.86,26.02,72.93,13.18,90.22103004291846,20.50925925925926,,30.34090909090909,59.00333333333333,14.41509433962264,90.22103004291846,Moderate,2023,10,13,14.03,10.94
2748,Johannesburg,South Africa,19.26,154.93,80.16,4.01,2.67,95.55,35.38,45.45,16.02,66.05751072961374,,,30.34090909090909,5.728571428571429,78.86608695652174,78.86608695652174,Moderate,2023,11,6,16.9,11.25
2749,Cairo,Egypt,6.3,75.25,8.54,18.26,3.55,123.83,28.19,27.38,5.3,26.25,61.02272727272727,,40.340909090909086,26.08571428571429,8.056603773584905,61.02272727272727,Moderate,2023,1,11,14.81,9.3
2750,London,UK,22.94,51.17,24.95,12.44,7.94,78.33,33.27,60.39,18.06,73.79656652360515,47.37962962962963,,85.4,17.771428571428572,23.5377358490566,85.4,Moderate,2023,11,9,13.48,9.29
2751,Toronto,Canada,114.52,186.75,50.52,4.81,1.13,161.81,14.75,63.01,3.59,181.4739726027397,116.71464646464646,,12.84090909090909,6.871428571428571,47.66037735849057,181.4739726027397,Unhealthy,2023,3,5,12.39,10.73
2752,Mexico City,Mexico,86.96,87.91,7.95,38.17,1.82,173.64,17.39,30.74,16.44,167.24383561643836,67.28878787878787,,20.681818181818183,53.72641025641026,7.5,167.24383561643836,Unhealthy,2023,11,20,14.33,10.06
2753,Dubai,UAE,130.32,167.82,21.01,31.09,2.1,199.02,-0.09,89.82,1.71,189.63203371970496,107.34525252525252,,23.863636363636363,44.41428571428572,19.82075471698113,189.63203371970496,Unhealthy,2023,10,3,12.55,9.61
2754,Paris,France,115.48,186.25,59.42,48.03,2.51,71.04,17.6,55.35,18.79,181.9696522655427,116.46717171717172,,28.52272727272727,66.11461538461539,56.77347826086957,181.9696522655427,Unhealthy,2023,1,15,11.87,11.45
2755,Mumbai,India,105.94,67.01,22.81,47.49,7.42,24.75,34.13,33.08,5.08,177.04383561643834,56.94434343434344,,80.2,65.43615384615384,21.5188679245283,177.04383561643834,Unhealthy,2023,3,24,14.48,10.05
2756,Beijing,China,10.41,12.98,7.17,33.37,2.34,116.32,21.13,49.81,19.31,43.37500000000001,12.01851851851852,,26.59090909090909,47.67142857142857,6.764150943396227,47.67142857142857,Good,2023,3,18,14.74,10.63
2757,New York,USA,67.15,14.45,40.62,36.1,8.82,112.56,21.64,96.75,11.68,157.01527924130664,13.37962962962963,,94.2,51.12564102564103,38.32075471698113,157.01527924130664,Unhealthy,2023,11,9,13.37,8.96
2758,Mumbai,India,77.58,148.08,31.57,29.07,3.48,15.62,0.15,46.86,8.05,162.40063224446786,97.069898989899,,39.54545454545455,41.52857142857143,29.78301886792453,162.40063224446786,Unhealthy,2023,7,27,13.77,11.16
2759,Paris,France,20.63,51.69,10.66,3.16,7.67,40.9,-4.44,49.32,19.51,68.93862660944205,47.86111111111111,,82.7,4.514285714285714,10.056603773584904,82.7,Moderate,2023,9,17,11.91,9.29
2760,Dubai,UAE,132.39,155.14,8.67,4.75,2.28,104.62,-4.58,45.79,17.58,190.70084299262385,101.06929292929291,,25.909090909090907,6.785714285714286,8.179245283018869,190.70084299262385,Unhealthy,2023,4,22,13.2,11.62
2761,Beijing,China,97.57,100.2,42.71,22.9,0.26,158.63,-3.53,30.06,10.43,172.72212855637514,73.37171717171718,,2.9545454545454546,32.714285714285715,40.29245283018868,172.72212855637514,Unhealthy,2023,8,22,12.37,11.4
2762,New York,USA,148.84,69.91,39.67,35.69,2.74,70.18,1.15,76.2,5.13,199.1945205479452,58.379696969696965,,31.13636363636364,,37.4245283018868,199.1945205479452,Unhealthy,2023,6,18,15.78,9.84
2763,Cairo,Egypt,43.42,30.2,90.76,16.2,0.51,181.65,22.45,18.7,12.27,120.50150753768844,27.96296296296296,,5.795454545454545,23.142857142857142,90.15739130434784,120.50150753768844,Poor,2023,5,15,15.47,12.16
2764,Cairo,Egypt,37.28,98.55,47.07,28.77,0.37,38.67,23.5,38.23,9.09,105.38291457286432,72.5550505050505,,4.204545454545454,41.1,44.405660377358494,105.38291457286432,Poor,2023,8,6,14.81,9.39
2765,Toronto,Canada,51.42,35.26,62.0,15.79,1.51,24.56,2.21,48.63,8.1,140.20000000000002,32.648148148148145,,17.15909090909091,22.557142857142857,59.52173913043478,140.20000000000002,Poor,2023,1,15,13.87,11.98
2766,Sydney,Australia,79.57,56.64,39.12,8.06,3.75,18.96,20.13,71.76,14.34,163.4281348788198,51.81171717171717,,42.61363636363636,11.514285714285716,36.90566037735849,163.4281348788198,Unhealthy,2023,3,27,13.57,12.06
2767,Istanbul,Turkey,123.68,17.71,6.13,17.33,6.45,171.35,15.57,56.56,14.91,186.2035827186512,16.39814814814815,,70.5,24.757142857142856,5.783018867924528,186.2035827186512,Unhealthy,2023,2,13,9.58,10.91
2768,Cairo,Egypt,63.95,96.6,65.36,21.16,7.15,137.66,35.72,48.31,14.53,155.36301369863014,71.58989898989898,,77.5,30.228571428571428,63.100869565217394,155.36301369863014,Unhealthy,2023,5,8,15.47,12.16
2769,Los Angeles,USA,106.67,58.27,68.28,27.23,3.31,189.4,38.27,16.31,19.3,177.42075869336145,52.61848484848485,,37.61363636363636,38.9,66.21130434782609,177.42075869336145,Unhealthy,2023,4,27,14.11,9.77
2770,Tokyo,Japan,89.57,50.49,95.67,6.52,5.13,133.28,1.68,79.55,8.06,168.59146469968388,46.75,,57.3,9.314285714285711,95.38760869565218,168.59146469968388,Unhealthy,2023,12,13,11.62,10.03
2771,Toronto,Canada,71.68,157.59,11.97,4.09,3.47,158.42,-3.87,84.92,1.05,159.35426765015808,102.2819191919192,,39.43181818181818,5.842857142857143,11.29245283018868,159.35426765015808,Unhealthy,2023,6,8,16.31,10.24
2772,New York,USA,93.79,112.51,24.99,49.84,0.26,28.22,30.73,88.23,1.17,170.77038988408853,79.46454545454546,,2.9545454545454546,68.38871794871795,23.575471698113205,170.77038988408853,Unhealthy,2023,7,20,12.59,10.39
2773,Toronto,Canada,120.87,135.87,63.75,36.41,2.58,160.65,30.59,21.52,4.08,184.75268703898843,91.02656565656564,,29.318181818181817,51.5151282051282,61.38586956521739,184.75268703898843,Unhealthy,2023,10,14,14.88,11.68
2774,New York,USA,19.95,117.33,13.35,10.48,6.0,17.5,-2.16,14.09,14.03,67.50858369098712,81.85020202020202,,66.0,14.971428571428572,12.59433962264151,81.85020202020202,Moderate,2023,7,7,12.59,10.39
2775,Beijing,China,35.72,37.78,45.05,36.88,8.73,147.98,-5.36,65.04,16.13,101.54170854271356,34.98148148148148,,93.3,52.10564102564103,42.5,101.54170854271356,Poor,2023,7,3,13.81,10.01
2776,Dubai,UAE,10.78,160.01,51.08,42.3,7.68,59.19,36.26,51.06,15.0,44.91666666666666,103.47969696969696,,82.8,58.91538461538461,48.18867924528302,103.47969696969696,Poor,2023,12,13,15.24,10.32
2777,Bangkok,Thailand,144.36,28.94,94.57,18.54,3.94,100.99,-3.67,41.42,14.75,196.88134878819807,26.796296296296298,,44.77272727272727,26.485714285714284,94.2158695652174,196.88134878819807,Unhealthy,2023,10,13,12.07,9.94
2778,London,UK,31.25,61.14,40.6,40.95,8.64,17.37,14.45,19.15,17.57,91.2725321888412,54.0389898989899,,92.4,57.219230769230776,38.301886792452834,92.4,Moderate,2023,7,20,14.74,9.75
