,City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category
1128,Dubai,UAE,2023-12-13,113.38,70.83,93.12,2.07,1.11,60.85,29.85,98.83,2.94,180.8853530031612,Unhealthy
1129,Rio de Janeiro,Brazil,2023-06-23,107.62,42.28,62.95,19.7,6.6,153.3,-4.21,22.04,15.87,177.91127502634353,Unhealthy
1130,London,UK,2023-08-10,10.57,79.02,38.04,31.93,2.75,144.78,29.17,77.24,2.38,62.88868686868687,Moderate
1131,New York,USA,2023-11-13,122.26,149.99,24.05,29.42,1.14,183.32,4.93,79.21,19.91,185.47038988408852,Unhealthy
1132,New York,USA,2023-05-02,63.37,14.25,79.67,26.56,2.77,93.89,0.68,64.1,6.38,155.06354056902,Unhealthy
1133,Los Angeles,USA,2023-03-23,134.66,179.27,23.31,21.53,3.47,55.71,22.41,11.54,19.97,191.87291886195996,Unhealthy
1134,New York,USA,2023-07-18,46.96,92.2,17.66,32.96,0.85,150.45,2.55,33.12,18.92,129.21809045226132,Poor
1135,Cairo,Egypt,2023-08-11,65.7,105.64,49.66,36.78,9.13,155.76,-0.31,65.39,5.95,156.26659641728136,Unhealthy
1136,Cairo,Egypt,2023-10-28,130.44,90.61,53.39,45.24,2.53,81.07,19.08,97.13,5.87,189.6939936775553,Unhealthy
1137,Moscow,Russia,2023-09-11,104.03,159.37,65.49,18.33,0.58,140.8,4.49,43.45,11.7,176.05763962065333,Unhealthy
1138,Sydney,Australia,2023-06-06,143.68,136.49,89.13,8.93,0.51,182.04,39.39,58.6,14.63,196.53024236037936,Unhealthy
1139,Mumbai,India,2023-03-28,63.72,12.39,84.79,20.82,7.62,114.17,7.07,86.16,14.78,155.24425711275026,Unhealthy
1140,Seoul,South Korea,2023-01-15,24.6,14.29,48.47,38.87,1.33,184.56,-5.29,66.64,3.83,77.28755364806868,Moderate
1141,London,UK,2023-10-10,6.87,88.28,49.36,34.55,6.97,72.6,13.01,18.11,12.54,75.69999999999999,Moderate
1142,Bangkok,Thailand,2023-05-03,36.83,28.37,27.57,31.43,9.51,92.27,0.19,58.94,4.15,104.2748743718593,Poor
1143,Rio de Janeiro,Brazil,2023-04-06,121.48,70.36,49.79,42.62,7.83,33.24,27.01,32.61,3.73,185.06765015806113,Unhealthy
1144,Berlin,Germany,2023-01-09,36.69,39.86,33.25,6.74,3.5,121.95,9.77,32.84,2.94,103.93015075376884,Poor
1145,Berlin,Germany,2023-09-01,146.4,11.54,88.57,36.32,3.51,26.03,35.71,56.57,12.9,197.9346680716544,Unhealthy
1146,Johannesburg,South Africa,2023-01-27,64.77,88.82,33.01,34.8,6.63,89.76,-7.93,85.24,0.75,155.786406743941,Unhealthy
1147,Tokyo,Japan,2023-07-24,84.83,190.83,65.5,45.69,1.07,132.83,3.49,11.62,14.48,166.14404636459432,Unhealthy
1148,Sydney,Australia,2023-01-10,126.46,107.21,99.0,26.02,5.05,153.21,10.76,71.21,2.79,187.63898840885142,Unhealthy
1149,Rio de Janeiro,Brazil,2023-02-08,37.75,65.34,97.29,3.71,0.96,197.95,28.41,20.32,13.52,106.54020100502512,Poor
1150,Mumbai,India,2023-02-18,146.91,92.71,65.52,44.09,1.67,144.22,37.07,53.07,0.68,198.19799789251846,Unhealthy
1151,London,UK,2023-10-25,31.09,136.73,94.96,28.74,6.61,86.46,17.41,75.29,8.67,94.63130434782607,Moderate
1152,Madrid,Spain,2023-01-14,113.37,89.78,92.84,32.95,0.92,42.58,-3.94,19.27,1.51,180.88018967334037,Unhealthy
1153,Berlin,Germany,2023-11-06,54.14,137.1,67.38,28.67,4.67,15.16,20.88,58.85,4.09,146.89748743718593,Poor
1154,Beijing,China,2023-10-08,8.45,86.47,88.71,40.17,9.32,178.2,5.47,78.29,2.6,99.2,Moderate
1155,Bangkok,Thailand,2023-04-09,88.72,147.9,91.84,28.0,5.73,192.22,-5.09,27.4,13.94,168.15258166491043,Unhealthy
1156,Rio de Janeiro,Brazil,2023-06-11,146.07,10.18,66.76,36.93,8.7,34.8,5.45,67.91,9.6,197.76427818756585,Unhealthy
1157,Berlin,Germany,2023-11-04,40.44,11.8,20.9,37.16,2.26,67.65,6.03,39.05,17.05,113.16381909547738,Poor
1158,Moscow,Russia,2023-05-06,91.31,167.93,19.75,2.49,0.11,31.25,-7.5,39.74,10.87,169.48988408851423,Unhealthy
1159,Madrid,Spain,2023-11-23,15.5,179.02,98.1,47.68,6.46,65.27,-3.93,42.62,12.61,112.88868686868688,Poor
1160,Mumbai,India,2023-10-23,51.73,172.2,58.31,43.41,6.68,118.66,3.44,40.17,19.06,140.96331658291456,Poor
1161,Bangkok,Thailand,2023-08-02,83.04,13.09,79.33,17.08,5.63,73.54,22.29,80.52,17.35,165.21981032665965,Unhealthy
1162,Madrid,Spain,2023-06-01,140.79,31.12,95.17,5.44,5.97,146.03,16.55,34.9,3.1,195.03804004214965,Unhealthy
1163,Seoul,South Korea,2023-05-21,23.91,196.31,92.97,3.57,4.63,103.71,13.65,81.26,18.07,121.44636363636364,Poor
1164,Dubai,UAE,2023-07-05,95.8,28.95,8.37,4.57,9.17,118.37,38.9,47.78,8.68,171.8082191780822,Unhealthy
1165,Rio de Janeiro,Brazil,2023-08-23,61.63,79.95,95.1,16.66,9.87,69.75,-4.73,55.99,4.44,154.1651211801897,Unhealthy
1166,Mumbai,India,2023-01-17,11.95,58.7,85.29,46.73,2.75,31.23,6.68,43.19,17.85,84.33065217391305,Moderate
1167,Berlin,Germany,2023-10-07,122.69,68.52,63.86,11.48,5.5,157.34,32.11,71.02,9.39,185.69241306638565,Unhealthy
1168,Seoul,South Korea,2023-10-20,135.44,107.68,10.15,11.24,1.57,86.54,-4.97,31.82,17.16,192.27565858798735,Unhealthy
1169,Mexico City,Mexico,2023-11-18,104.54,86.03,87.88,41.75,0.52,142.53,15.76,43.57,10.55,176.32096944151738,Unhealthy
1170,Berlin,Germany,2023-01-23,24.08,159.51,6.65,35.43,2.98,67.37,10.69,15.81,6.11,103.23222222222222,Poor
1171,Mumbai,India,2023-10-15,146.67,174.83,61.14,19.04,6.55,41.11,-3.56,25.87,4.94,198.0740779768177,Unhealthy
1172,Dubai,UAE,2023-05-11,127.9,76.06,75.6,15.83,7.12,10.4,24.54,63.12,18.08,188.38250790305585,Unhealthy
1173,New York,USA,2023-02-22,148.86,149.12,17.48,4.0,3.0,49.05,9.08,49.7,2.5,199.20484720758694,Unhealthy
1174,Moscow,Russia,2023-02-14,23.8,143.11,65.37,27.5,7.95,126.53,-2.06,99.62,10.35,94.61000000000001,Moderate
1175,Toronto,Canada,2023-03-01,17.98,135.59,54.1,22.19,4.27,96.52,0.49,37.02,15.57,90.8879797979798,Moderate
1176,Madrid,Spain,2023-05-24,121.18,134.37,83.0,28.75,5.34,192.07,25.0,69.19,10.63,184.9127502634352,Unhealthy
1177,Dubai,UAE,2023-03-12,59.9,194.54,17.66,46.93,2.01,40.91,-5.47,37.52,11.73,153.27186512118018,Unhealthy
1178,Johannesburg,South Africa,2023-04-10,127.51,175.1,73.71,13.02,1.7,196.41,27.46,51.14,10.26,188.18113804004216,Unhealthy
1179,Istanbul,Turkey,2023-07-21,120.11,82.57,67.55,34.42,4.23,57.26,31.88,39.79,16.6,184.36027397260273,Unhealthy
1180,Bangkok,Thailand,2023-02-25,141.1,60.89,21.67,15.98,4.2,10.42,19.6,85.39,1.9,195.19810326659643,Unhealthy
1181,Moscow,Russia,2023-09-24,107.53,153.15,46.82,9.96,9.89,36.24,15.56,76.85,15.0,177.86480505795575,Unhealthy
1182,Mumbai,India,2023-12-06,147.33,155.17,97.26,26.95,3.76,71.41,27.47,82.9,10.61,198.41485774499475,Unhealthy
1183,Mexico City,Mexico,2023-05-12,112.99,157.1,20.12,29.37,9.88,48.73,11.94,82.28,9.62,180.68398314014752,Unhealthy
1184,Istanbul,Turkey,2023-11-15,92.99,125.58,70.71,45.77,9.37,50.5,39.76,70.19,10.2,170.3573234984194,Unhealthy
1185,Beijing,China,2023-09-10,63.61,66.18,87.96,8.04,4.25,54.08,23.6,19.04,13.39,155.18746048472076,Unhealthy
1186,Johannesburg,South Africa,2023-10-28,141.76,173.89,65.3,8.46,6.37,139.43,10.06,25.11,3.26,195.53888303477345,Unhealthy
1187,Berlin,Germany,2023-08-02,84.0,87.49,64.78,2.93,2.26,58.26,34.55,77.93,12.12,165.71548998946258,Unhealthy
1188,London,UK,2023-11-05,5.16,70.63,97.6,29.47,6.61,145.87,35.91,96.52,1.0,97.44347826086957,Moderate
1189,Istanbul,Turkey,2023-03-01,85.48,81.2,79.92,30.56,6.43,168.51,35.28,25.02,17.64,166.4796628029505,Unhealthy
1190,Berlin,Germany,2023-04-07,8.35,90.98,24.13,3.54,9.71,116.34,16.15,40.71,5.91,104.54827586206898,Poor
1191,Los Angeles,USA,2023-02-23,26.19,165.77,46.51,48.97,4.04,153.99,26.61,85.81,10.08,106.33060606060607,Poor
1192,Beijing,China,2023-03-11,8.57,131.59,82.0,38.74,5.25,164.59,35.65,59.59,3.02,88.90818181818182,Moderate
1193,Dubai,UAE,2023-01-12,113.95,18.72,7.35,27.12,4.2,199.21,8.04,57.11,5.32,181.17966280295047,Unhealthy
1194,Toronto,Canada,2023-06-17,60.56,48.07,18.95,32.74,0.28,170.16,-2.18,87.38,15.66,153.61264488935723,Unhealthy
1195,Moscow,Russia,2023-11-08,18.34,163.69,50.85,11.18,7.12,27.35,-0.29,65.34,14.07,105.30111111111111,Poor
1196,Toronto,Canada,2023-12-20,59.29,139.58,94.2,33.03,5.75,163.72,29.87,92.37,13.35,152.95690200210748,Unhealthy
1197,London,UK,2023-02-14,103.7,159.93,94.91,16.92,6.91,142.14,3.66,87.48,4.77,175.8872497365648,Unhealthy
1198,Bangkok,Thailand,2023-12-14,30.76,124.82,30.79,9.17,8.79,197.64,25.98,25.84,13.72,93.89999999999999,Moderate
1199,New York,USA,2023-02-16,83.57,180.37,73.16,46.02,8.57,144.84,-3.2,59.94,19.0,165.49346680716545,Unhealthy
1200,Toronto,Canada,2023-06-09,137.37,144.02,62.54,26.29,3.41,193.81,9.0,38.54,11.51,193.27218124341414,Unhealthy
1201,Dubai,UAE,2023-03-24,141.42,91.35,94.86,25.83,1.0,79.53,10.56,49.75,13.1,195.36332982086407,Unhealthy
1202,Sydney,Australia,2023-08-24,36.67,47.42,28.27,34.14,4.1,61.43,21.92,58.06,5.96,103.88090452261306,Poor
1203,London,UK,2023-05-02,102.58,123.23,92.77,4.09,2.48,158.9,-4.02,49.88,3.53,175.30895679662802,Unhealthy
1204,Seoul,South Korea,2023-07-01,76.14,41.81,59.97,46.25,2.54,66.87,23.21,32.22,14.12,161.65711275026342,Unhealthy
1205,Madrid,Spain,2023-04-02,64.57,178.96,70.9,1.98,7.35,183.99,33.76,26.68,8.64,155.68314014752372,Unhealthy
1206,Toronto,Canada,2023-12-09,145.73,174.8,92.43,15.17,7.31,155.72,39.0,93.4,17.37,197.58872497365647,Unhealthy
1207,Seoul,South Korea,2023-11-15,119.41,59.85,59.45,29.61,7.36,144.74,18.2,86.38,1.39,183.99884088514227,Unhealthy
1208,Bangkok,Thailand,2023-11-01,28.96,165.63,70.76,24.88,9.24,109.8,24.25,68.91,7.83,106.26131313131313,Poor
1209,Rio de Janeiro,Brazil,2023-09-07,56.73,44.38,40.93,13.6,4.7,44.12,30.85,54.76,14.21,151.63508956796628,Unhealthy
1210,Moscow,Russia,2023-11-25,77.64,172.57,82.33,48.01,0.38,167.85,1.29,75.54,1.77,162.43161222339305,Unhealthy
1211,Dubai,UAE,2023-04-26,131.73,153.85,60.44,31.05,0.46,43.35,39.18,36.44,3.12,190.36006322444678,Unhealthy
1212,New York,USA,2023-11-01,33.32,100.53,93.26,49.57,0.26,196.48,29.33,61.51,12.17,95.62575107296138,Moderate
1213,Cairo,Egypt,2023-01-15,149.28,32.67,94.32,2.0,0.88,80.83,16.89,62.38,2.43,199.42170706006323,Unhealthy
1214,Berlin,Germany,2023-08-19,113.08,105.38,22.61,22.12,9.65,88.06,29.68,64.02,19.81,180.7304531085353,Unhealthy
1215,Los Angeles,USA,2023-07-23,31.21,65.35,59.2,44.37,8.74,172.14,3.92,45.43,9.09,93.4,Moderate
1216,Paris,France,2023-02-03,45.94,113.42,68.58,23.06,5.95,157.18,-2.1,22.68,3.55,126.70653266331658,Poor
1217,Cairo,Egypt,2023-11-19,54.5,98.78,28.73,3.11,2.49,138.44,25.11,14.0,15.58,147.78391959798995,Poor
1218,Mexico City,Mexico,2023-03-18,47.05,175.71,19.01,28.49,1.61,66.61,34.8,91.62,10.61,129.4396984924623,Poor
1219,Berlin,Germany,2023-07-01,15.09,49.53,26.37,30.72,4.36,89.99,15.66,22.63,4.39,57.28798283261803,Moderate
1220,Moscow,Russia,2023-10-09,120.24,117.9,21.42,46.79,9.1,44.95,21.51,54.1,10.84,184.42739726027398,Unhealthy
1221,Moscow,Russia,2023-01-23,108.28,144.49,81.32,45.17,9.4,128.93,-6.53,65.83,3.72,178.25205479452055,Unhealthy
1222,Paris,France,2023-04-17,11.64,68.3,96.29,20.58,9.63,56.82,3.96,94.08,14.11,103.19655172413795,Poor
1223,Berlin,Germany,2023-07-17,122.47,81.7,78.2,27.76,2.84,19.65,37.6,47.13,19.38,185.57881981032665,Unhealthy
1224,Cairo,Egypt,2023-11-12,73.34,190.56,71.12,29.89,2.18,152.3,25.98,78.61,4.32,160.2113804004215,Unhealthy
1225,New York,USA,2023-04-02,13.36,143.18,84.27,7.46,9.82,147.88,-5.36,73.04,4.33,106.40689655172415,Poor
1226,Madrid,Spain,2023-04-18,15.6,75.44,30.47,4.34,1.63,65.81,22.62,29.66,13.99,61.11676767676768,Moderate
1227,Tokyo,Japan,2023-01-06,47.21,168.33,59.71,27.97,5.56,78.09,32.71,41.71,2.8,129.83366834170855,Poor
1228,Sydney,Australia,2023-01-24,96.69,138.42,97.1,1.9,5.66,21.2,12.83,97.02,15.26,172.2677555321391,Unhealthy
1229,Berlin,Germany,2023-12-08,90.3,113.16,98.72,36.64,4.41,69.04,38.83,54.3,16.39,168.96838777660696,Unhealthy
1230,New York,USA,2023-07-05,24.1,97.14,65.73,31.65,4.12,25.82,18.04,20.94,14.46,76.23605150214593,Moderate
1231,New York,USA,2023-11-05,20.64,148.31,67.08,35.93,7.05,155.27,-2.55,90.51,9.95,97.18373737373739,Moderate
1232,Tokyo,Japan,2023-04-17,107.58,10.97,6.33,43.38,2.22,165.76,-6.33,24.88,16.53,177.89062170706006,Unhealthy
1233,Rio de Janeiro,Brazil,2023-05-06,77.96,98.27,59.95,1.02,9.68,198.52,9.23,19.85,12.22,162.5968387776607,Unhealthy
1234,Rio de Janeiro,Brazil,2023-09-19,49.35,132.77,6.47,44.07,0.17,60.2,26.51,19.18,11.5,135.1030150753769,Poor
1235,Seoul,South Korea,2023-05-16,67.47,80.43,21.07,1.01,1.49,161.74,38.99,27.02,3.14,157.18050579557428,Unhealthy
1236,Paris,France,2023-08-28,107.63,161.68,34.77,35.25,4.96,69.0,32.87,22.51,6.6,177.91643835616438,Unhealthy
1237,London,UK,2023-06-22,134.95,60.91,50.55,18.42,1.47,20.3,36.94,20.0,4.64,192.02265542676503,Unhealthy
1238,Berlin,Germany,2023-12-18,81.53,166.79,15.26,44.3,9.57,191.76,6.5,17.12,4.67,164.44014752370916,Unhealthy
1239,Tokyo,Japan,2023-06-13,123.86,12.96,79.25,32.88,4.04,125.15,15.41,40.98,8.4,186.29652265542677,Unhealthy
1240,Beijing,China,2023-12-14,54.63,47.88,8.61,34.67,2.07,131.04,12.19,32.19,12.63,148.1040201005025,Poor
1241,Cairo,Egypt,2023-08-09,75.08,96.57,63.36,31.5,7.57,118.66,25.75,88.94,1.19,161.10979978925184,Unhealthy
1242,Istanbul,Turkey,2023-06-01,72.62,162.72,56.32,28.66,7.92,101.28,11.39,38.26,8.36,159.8396206533193,Unhealthy
1243,Madrid,Spain,2023-11-27,26.84,118.3,32.77,48.62,0.16,112.35,37.71,99.58,1.16,82.33030303030303,Moderate
1244,Seoul,South Korea,2023-12-06,148.04,112.74,99.66,46.6,4.1,157.13,19.26,31.43,4.11,198.78145416227608,Unhealthy
1245,Rio de Janeiro,Brazil,2023-07-07,147.01,81.07,48.41,43.67,8.97,92.34,37.92,98.99,10.52,198.2496311907271,Unhealthy
1246,Johannesburg,South Africa,2023-08-15,107.75,159.51,85.42,5.21,7.35,106.05,-0.06,16.87,9.5,177.97839831401475,Unhealthy
1247,Mexico City,Mexico,2023-08-28,112.33,107.32,7.88,26.34,9.63,118.51,35.0,70.74,17.87,180.3432033719705,Unhealthy
1248,Berlin,Germany,2023-02-15,63.19,78.02,80.52,33.28,7.06,125.33,-7.44,64.25,10.6,154.97060063224447,Unhealthy
1249,Sydney,Australia,2023-05-22,60.81,76.2,82.46,31.36,9.52,124.92,-4.46,59.9,15.97,153.74172813487883,Unhealthy
1250,Toronto,Canada,2023-11-02,147.33,166.81,86.24,20.5,9.79,137.96,6.66,95.99,3.11,198.41485774499475,Unhealthy
1251,Madrid,Spain,2023-01-01,20.25,83.29,38.3,4.95,7.42,64.67,-0.77,45.42,11.51,80.2,Moderate
1252,Los Angeles,USA,2023-09-22,148.7,144.18,47.56,33.12,0.68,198.37,11.87,96.72,5.8,199.1222339304531,Unhealthy
1253,Dubai,UAE,2023-12-20,102.98,156.2,71.75,34.67,1.48,116.98,27.83,47.61,12.73,175.5154899894626,Unhealthy
1254,New York,USA,2023-02-04,90.36,191.04,27.2,27.24,8.94,30.95,27.38,88.28,1.59,168.99936775553215,Unhealthy
1255,Beijing,China,2023-08-17,139.06,52.58,13.5,46.85,7.56,163.25,9.3,65.22,6.23,194.14478398314014,Unhealthy
1256,Toronto,Canada,2023-08-27,84.05,37.47,90.37,15.47,3.9,139.36,-6.95,97.06,13.72,165.74130663856693,Unhealthy
1257,Sydney,Australia,2023-10-24,107.05,139.85,44.58,32.74,9.6,40.75,23.97,91.1,7.11,177.61696522655427,Unhealthy
1258,London,UK,2023-09-28,53.54,12.26,42.28,49.97,3.5,33.86,-4.58,25.96,16.14,145.42010050251258,Poor
1259,Mumbai,India,2023-07-17,13.89,80.21,75.91,20.31,1.44,197.8,-3.29,57.76,19.22,74.33891304347826,Moderate
1260,Seoul,South Korea,2023-05-16,35.47,37.27,87.29,7.38,8.19,78.58,6.55,90.39,4.48,87.89999999999999,Moderate
1261,Johannesburg,South Africa,2023-01-26,114.97,78.9,7.8,2.21,7.06,67.42,0.35,48.83,9.45,181.70632244467862,Unhealthy
1262,Paris,France,2023-06-03,51.04,99.63,95.72,44.1,3.67,83.8,8.62,82.52,10.38,139.2643216080402,Poor
1263,Johannesburg,South Africa,2023-05-13,98.11,150.26,82.13,10.52,2.49,60.19,29.25,94.43,8.72,173.00094836670178,Unhealthy
1264,Johannesburg,South Africa,2023-11-22,44.74,140.21,53.72,44.33,8.08,36.65,37.19,59.18,19.3,123.75175879396986,Poor
1265,Seoul,South Korea,2023-04-13,103.36,150.39,70.87,32.37,5.23,183.75,28.32,74.16,17.69,175.71169652265542,Unhealthy
1266,Dubai,UAE,2023-04-21,9.4,156.19,80.24,48.43,1.41,169.21,33.07,36.71,17.1,101.5889898989899,Poor
1267,Paris,France,2023-11-26,68.26,109.21,71.31,31.68,5.24,185.91,-1.95,51.87,14.08,157.58840885142254,Unhealthy
1268,Mumbai,India,2023-03-22,95.71,131.78,61.5,32.96,8.17,85.0,-1.83,66.67,13.15,171.76174920969441,Unhealthy
1269,Istanbul,Turkey,2023-03-20,137.92,89.16,23.01,21.37,6.31,115.99,12.25,31.13,6.06,193.55616438356162,Unhealthy
1270,Johannesburg,South Africa,2023-06-21,117.85,108.91,90.93,16.93,2.99,20.69,4.26,60.46,3.19,183.19336143308746,Unhealthy
1271,Rio de Janeiro,Brazil,2023-07-28,12.64,102.44,43.81,42.19,5.87,100.87,21.41,30.78,9.55,74.48040404040404,Moderate
1272,Toronto,Canada,2023-10-03,112.87,90.43,30.96,36.66,6.87,63.17,2.91,93.68,12.61,180.62202318229717,Unhealthy
1273,New York,USA,2023-08-17,10.11,31.51,68.43,13.43,4.4,156.69,7.23,41.57,1.72,66.37108695652175,Moderate
1274,Moscow,Russia,2023-07-13,92.97,112.66,67.31,23.58,4.59,82.57,-6.67,57.37,5.03,170.34699683877767,Unhealthy
1275,London,UK,2023-07-09,51.58,174.33,40.58,34.33,3.15,175.99,1.36,23.2,1.02,140.59396984924624,Poor
1276,Los Angeles,USA,2023-08-05,6.69,51.84,48.2,23.12,9.62,48.23,20.0,16.26,15.18,103.02758620689654,Poor
1277,Seoul,South Korea,2023-08-06,47.38,96.43,25.44,19.99,4.65,145.18,28.71,63.27,3.77,130.25226130653266,Poor
1278,Bangkok,Thailand,2023-09-01,65.33,122.95,65.23,15.58,6.74,196.13,0.11,73.15,7.41,156.0755532139094,Unhealthy
1279,Johannesburg,South Africa,2023-08-02,134.91,105.06,18.32,17.35,9.1,17.91,14.71,54.47,11.44,192.00200210748156,Unhealthy
1280,Cairo,Egypt,2023-01-01,48.66,122.2,19.79,44.91,1.43,54.58,0.2,99.54,19.8,133.40402010050252,Poor
1281,Cairo,Egypt,2023-06-26,73.63,168.12,92.34,2.73,3.76,50.01,26.89,82.92,10.19,160.36111696522656,Unhealthy
1282,Paris,France,2023-01-10,146.24,197.47,78.12,6.32,1.14,16.86,-2.32,10.7,13.69,197.85205479452054,Unhealthy
1283,Johannesburg,South Africa,2023-11-21,139.82,130.63,56.86,8.97,5.81,101.22,-9.62,94.58,8.03,194.53719704952582,Unhealthy
1284,Istanbul,Turkey,2023-01-14,28.07,39.56,31.0,19.18,3.47,104.18,10.76,97.66,9.74,84.58497854077254,Moderate
1285,Berlin,Germany,2023-01-22,6.15,27.48,34.96,13.43,7.67,154.74,32.25,87.28,3.25,82.7,Moderate
1286,Toronto,Canada,2023-08-12,22.41,164.78,24.36,13.39,9.19,84.98,39.38,89.53,4.74,105.84060606060606,Poor
1287,Paris,France,2023-02-01,64.79,26.82,56.4,37.22,3.88,174.79,8.87,34.75,10.09,155.79673340358272,Unhealthy
1288,New York,USA,2023-12-05,15.78,44.93,67.58,38.83,2.79,45.35,-8.58,35.94,11.48,65.46565217391304,Moderate
1289,Tokyo,Japan,2023-06-09,121.13,16.67,20.89,24.13,9.67,10.45,29.2,95.45,19.51,184.88693361433087,Unhealthy
1290,Bangkok,Thailand,2023-10-03,105.24,179.76,13.9,38.07,5.31,31.15,9.4,53.73,9.85,176.68240252897786,Unhealthy
1291,Paris,France,2023-07-23,112.33,171.8,44.32,49.64,4.11,56.18,11.36,87.33,1.23,180.3432033719705,Unhealthy
1292,Seoul,South Korea,2023-07-03,106.29,30.24,68.27,13.23,9.46,100.45,12.97,16.59,15.64,177.2245521601686,Unhealthy
1293,Johannesburg,South Africa,2023-03-26,84.58,36.39,38.17,33.36,4.56,167.2,17.78,87.41,7.75,166.01496311907272,Unhealthy
1294,Tokyo,Japan,2023-01-04,131.65,166.12,62.22,40.53,2.96,73.55,33.65,39.84,10.94,190.31875658587987,Unhealthy
1295,Johannesburg,South Africa,2023-06-14,78.33,117.48,50.39,3.98,7.05,188.09,16.24,13.94,15.8,162.78788198103265,Unhealthy
1296,Tokyo,Japan,2023-05-15,75.77,56.78,94.27,31.76,3.74,189.22,22.67,94.9,19.09,161.46606954689148,Unhealthy
1297,Seoul,South Korea,2023-11-01,60.57,87.32,78.2,20.78,9.39,152.42,20.63,94.11,6.3,153.61780821917807,Unhealthy
1298,London,UK,2023-10-09,111.9,84.16,29.95,8.36,0.28,155.27,3.54,91.5,12.38,180.12118018967334,Unhealthy
1299,Dubai,UAE,2023-04-07,75.48,180.14,37.87,28.37,1.91,141.37,11.39,87.7,9.88,161.3163329820864,Unhealthy
1300,New York,USA,2023-11-24,63.24,151.5,77.87,36.13,5.59,127.51,35.33,36.82,3.06,154.99641728134878,Unhealthy
1301,London,UK,2023-05-03,77.54,65.32,98.89,4.19,0.19,168.87,16.79,36.89,19.72,162.37997892518442,Unhealthy
1302,Moscow,Russia,2023-08-05,10.46,195.47,84.86,42.82,6.76,42.88,22.77,69.56,18.04,121.03060606060606,Poor
1303,Mexico City,Mexico,2023-11-07,20.96,181.02,53.14,32.3,9.51,34.6,36.52,64.89,13.23,113.87858585858586,Poor
1304,Dubai,UAE,2023-02-07,22.55,189.99,46.13,48.07,6.43,41.75,29.25,42.4,16.27,118.31828282828283,Poor
1305,Rio de Janeiro,Brazil,2023-04-17,149.53,38.93,97.18,44.41,4.85,159.57,17.06,96.07,4.55,199.55079030558483,Unhealthy
1306,Bangkok,Thailand,2023-04-17,138.62,124.59,29.83,42.36,6.21,77.52,1.1,82.78,13.22,193.91759747102213,Unhealthy
1307,Dubai,UAE,2023-05-16,7.23,155.67,90.49,48.68,7.83,184.4,31.89,26.8,15.61,101.33161616161615,Poor
1308,Mumbai,India,2023-03-06,61.94,165.51,47.2,34.87,3.06,157.44,20.69,82.01,15.0,154.32518440463645,Unhealthy
1309,Istanbul,Turkey,2023-04-21,112.92,86.07,77.75,49.4,0.35,101.06,6.87,16.2,19.13,180.64783983140148,Unhealthy
1310,Mumbai,India,2023-04-20,109.13,114.66,72.96,42.47,9.28,14.21,-1.61,13.75,10.84,178.690937829294,Unhealthy
1311,Los Angeles,USA,2023-04-17,116.67,104.79,21.55,37.67,3.06,181.46,9.48,25.06,7.37,182.5840885142255,Unhealthy
1312,Beijing,China,2023-02-26,137.84,198.0,56.31,24.37,7.26,35.73,-5.34,71.39,13.81,193.51485774499474,Unhealthy
1313,New York,USA,2023-07-11,84.14,103.33,28.91,17.51,5.73,176.31,25.16,64.34,0.92,165.78777660695468,Unhealthy
1314,Mumbai,India,2023-04-10,24.56,165.5,62.23,16.62,1.81,111.11,30.62,70.96,7.22,106.1969696969697,Poor
1315,Tokyo,Japan,2023-09-03,10.05,71.94,18.8,17.93,5.48,195.37,1.84,11.51,12.05,60.800000000000004,Moderate
1316,Madrid,Spain,2023-11-11,61.65,106.11,8.38,26.64,5.87,120.12,18.07,13.84,14.26,154.1754478398314,Unhealthy
1317,London,UK,2023-07-08,120.36,133.28,98.75,33.76,2.36,46.09,28.08,76.44,3.08,184.48935721812433,Unhealthy
1318,Paris,France,2023-11-02,145.86,120.16,9.34,39.23,5.69,23.91,5.12,91.26,7.03,197.65584826132772,Unhealthy
1319,Los Angeles,USA,2023-12-27,58.1,92.44,55.3,15.95,1.28,21.37,18.54,46.24,9.61,152.34246575342465,Unhealthy
1320,Rio de Janeiro,Brazil,2023-10-04,138.1,13.39,8.67,17.03,3.76,65.18,0.16,81.0,18.11,193.6491043203372,Unhealthy
1321,Beijing,China,2023-08-05,130.6,199.65,9.85,43.81,1.58,106.23,33.3,17.52,13.94,189.77660695468916,Unhealthy
1322,Bangkok,Thailand,2023-10-02,24.23,127.35,91.02,44.62,4.02,196.31,3.75,49.47,16.75,90.43434782608696,Moderate
1323,Rio de Janeiro,Brazil,2023-01-07,6.04,127.62,21.54,37.49,1.36,99.72,-2.94,97.99,5.1,86.94323232323234,Moderate
1324,Tokyo,Japan,2023-11-26,67.98,92.6,96.77,27.45,4.17,121.69,7.43,81.91,8.29,157.44383561643835,Unhealthy
1325,New York,USA,2023-08-09,6.22,129.66,46.86,9.64,8.8,114.26,0.54,83.29,6.33,94.0,Moderate
1326,Johannesburg,South Africa,2023-03-12,144.16,60.82,60.51,12.41,8.82,117.95,23.33,69.33,6.72,196.7780821917808,Unhealthy
1327,Berlin,Germany,2023-11-18,111.16,150.04,32.04,40.43,8.24,37.62,16.2,58.22,15.15,179.7390937829294,Unhealthy
