City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category
Bangkok,Thailand,2023-04-17,138.62,124.59,29.83,42.36,6.21,77.52,1.1,82.78,13.22,554,Dangerous
Dubai,UAE,2023-05-16,7.23,155.67,90.49,48.68,7.83,184.4,31.89,26.8,15.61,311,Dangerous
Mumbai,India,2023-03-06,61.94,165.51,47.2,34.87,3.06,157.44,20.69,82.01,15.0,331,Dangerous
Istanbul,Turkey,2023-04-21,112.92,86.07,77.75,49.4,0.35,101.06,6.87,16.2,19.13,452,Dangerous
Mumbai,India,2023-04-20,109.13,114.66,72.96,42.47,9.28,14.21,-1.61,13.75,10.84,437,Dangerous
Los Angeles,USA,2023-04-17,116.67,104.79,21.55,37.67,3.06,181.46,9.48,25.06,7.37,467,Dangerous
Beijing,China,2023-02-26,137.84,198.0,56.31,24.37,7.26,35.73,-5.34,71.39,13.81,551,Dangerous
New York,USA,2023-07-11,84.14,103.33,28.91,17.51,5.73,176.31,25.16,64.34,0.92,337,Dangerous
Mumbai,India,2023-04-10,24.56,165.5,62.23,16.62,1.81,111.11,30.62,70.96,7.22,331,Dangerous
Tokyo,Japan,2023-09-03,10.05,71.94,18.8,17.93,5.48,195.37,1.84,11.51,12.05,144,Unhealthy
Madrid,Spain,2023-11-11,61.65,106.11,8.38,26.64,5.87,120.12,18.07,13.84,14.26,247,Dangerous
London,UK,2023-07-08,120.36,133.28,98.75,33.76,2.36,46.09,28.08,76.44,3.08,481,Dangerous
Paris,France,2023-11-02,145.86,120.16,9.34,39.23,5.69,23.91,5.12,91.26,7.03,583,Dangerous
Los Angeles,USA,2023-12-27,58.1,92.44,55.3,15.95,1.28,21.37,18.54,46.24,9.61,232,Dangerous
Rio de Janeiro,Brazil,2023-10-04,138.1,13.39,8.67,17.03,3.76,65.18,0.16,81.0,18.11,552,Dangerous
Beijing,China,2023-08-05,130.6,199.65,9.85,43.81,1.58,106.23,33.3,17.52,13.94,522,Dangerous
Bangkok,Thailand,2023-10-02,24.23,127.35,91.02,44.62,4.02,196.31,3.75,49.47,16.75,255,Dangerous
Rio de Janeiro,Brazil,2023-01-07,6.04,127.62,21.54,37.49,1.36,99.72,-2.94,97.99,5.1,255,Dangerous
Tokyo,Japan,2023-11-26,67.98,92.6,96.77,27.45,4.17,121.69,7.43,81.91,8.29,272,Dangerous
New York,USA,2023-08-09,6.22,129.66,46.86,9.64,8.8,114.26,0.54,83.29,6.33,259,Dangerous
Johannesburg,South Africa,2023-03-12,144.16,60.82,60.51,12.41,8.82,117.95,23.33,69.33,6.72,577,Dangerous
Berlin,Germany,2023-11-18,111.16,150.04,32.04,40.43,8.24,37.62,16.2,58.22,15.15,445,Dangerous
Seoul,South Korea,2023-01-20,54.64,75.37,56.6,1.4,1.9,92.55,15.08,13.68,13.77,219,Dangerous
Rio de Janeiro,Brazil,2023-03-20,82.77,103.09,56.7,37.61,5.94,145.32,25.01,77.07,18.87,331,Dangerous
Istanbul,Turkey,2023-03-28,149.91,199.31,50.0,28.06,3.31,100.09,30.05,99.26,1.41,600,Dangerous
Istanbul,Turkey,2023-02-14,57.27,62.11,66.43,29.25,0.4,79.75,27.18,30.27,18.67,229,Dangerous
Cairo,Egypt,2023-01-23,129.68,65.98,75.89,25.45,2.37,40.9,29.62,41.1,14.23,519,Dangerous
Berlin,Germany,2023-11-15,38.21,14.69,73.77,19.03,1.43,149.98,10.02,67.52,16.99,153,Dangerous
London,UK,2023-11-14,138.56,116.09,75.54,27.63,3.38,111.29,34.97,10.12,5.59,554,Dangerous
Berlin,Germany,2023-01-07,14.91,109.27,96.69,39.51,0.9,154.38,36.0,19.47,3.34,219,Dangerous
Berlin,Germany,2023-09-19,140.64,52.36,50.33,31.89,1.42,190.69,0.15,23.51,1.84,563,Dangerous
Beijing,China,2023-06-01,108.59,55.56,9.65,4.93,8.73,176.94,33.23,81.78,10.81,434,Dangerous
Paris,France,2023-07-09,91.35,98.28,87.29,32.11,0.15,118.73,18.49,47.92,18.4,365,Dangerous
Tokyo,Japan,2023-04-28,51.04,81.47,43.45,49.74,5.09,33.46,0.05,85.31,13.53,204,Dangerous
Moscow,Russia,2023-08-11,136.79,130.73,43.25,20.45,4.9,140.72,36.19,20.27,15.94,547,Dangerous
Madrid,Spain,2023-07-27,5.83,83.29,85.79,31.19,1.47,153.05,-8.16,90.97,5.55,167,Dangerous
Rio de Janeiro,Brazil,2023-05-02,109.43,34.13,81.61,32.57,0.21,82.75,21.05,97.39,4.87,438,Dangerous
Madrid,Spain,2023-09-27,145.76,58.35,61.41,14.64,3.43,135.77,38.62,35.38,4.74,583,Dangerous
Johannesburg,South Africa,2023-02-15,135.44,32.8,57.63,4.06,0.17,66.16,-3.79,25.4,19.29,542,Dangerous
Tokyo,Japan,2023-07-25,5.33,72.08,66.03,5.41,4.89,29.47,12.19,93.05,9.42,144,Unhealthy
Bangkok,Thailand,2023-04-16,10.7,188.07,42.34,15.93,7.95,174.71,23.13,74.07,12.02,376,Dangerous
Sydney,Australia,2023-08-21,14.47,191.74,74.42,5.27,8.71,23.44,24.74,91.75,7.0,383,Dangerous
Cairo,Egypt,2023-08-28,84.59,81.23,67.97,18.78,6.82,99.25,36.61,99.02,10.28,338,Dangerous
Rio de Janeiro,Brazil,2023-05-07,133.92,33.48,16.2,36.7,1.74,187.62,-5.69,61.72,7.97,536,Dangerous
Cairo,Egypt,2023-09-18,104.46,27.65,13.64,3.13,6.18,18.07,10.54,60.62,12.7,418,Dangerous
Tokyo,Japan,2023-06-13,44.08,118.82,49.62,11.23,1.66,125.88,1.53,63.37,3.23,238,Dangerous
Beijing,China,2023-08-09,81.95,43.58,79.84,34.16,5.59,48.17,29.71,99.55,8.0,328,Dangerous
Los Angeles,USA,2023-07-05,64.99,181.5,63.08,35.25,0.9,130.24,38.8,19.52,8.59,363,Dangerous
Bangkok,Thailand,2023-04-28,64.18,42.24,28.87,33.82,0.56,86.54,3.77,83.7,17.36,257,Dangerous
Los Angeles,USA,2023-10-05,74.25,162.95,76.99,35.79,5.55,74.67,-8.97,93.47,11.07,326,Dangerous
Mexico City,Mexico,2023-03-24,122.25,99.35,95.9,9.24,5.24,161.85,-0.1,90.88,14.11,489,Dangerous
Seoul,South Korea,2023-03-04,82.98,189.67,88.56,33.02,6.34,160.07,25.35,70.61,14.89,379,Dangerous
Rio de Janeiro,Brazil,2023-10-10,79.83,148.13,15.77,1.56,1.38,199.41,15.88,38.29,9.67,319,Dangerous
Los Angeles,USA,2023-11-06,121.44,86.56,75.21,22.26,7.46,57.85,7.54,85.14,4.37,486,Dangerous
Johannesburg,South Africa,2023-03-04,123.62,23.73,39.83,41.3,5.5,173.85,2.18,44.43,10.72,494,Dangerous
Madrid,Spain,2023-03-26,51.53,85.55,54.62,1.37,4.54,13.61,26.96,78.42,17.0,206,Dangerous
Dubai,UAE,2023-07-23,18.47,45.06,18.54,18.0,2.26,24.28,31.92,83.77,1.86,90,Poor
Los Angeles,USA,2023-05-21,118.99,135.33,77.81,3.22,3.68,171.01,-7.23,15.97,19.41,476,Dangerous
Berlin,Germany,2023-09-13,78.79,10.47,74.77,24.9,1.53,151.11,28.58,24.12,18.93,315,Dangerous
Sydney,Australia,2023-07-26,132.42,182.43,73.3,33.52,9.39,161.66,-7.08,17.86,17.64,530,Dangerous
Tokyo,Japan,2023-11-15,38.58,105.67,95.06,39.28,7.89,20.85,27.08,95.89,6.19,211,Dangerous
Berlin,Germany,2023-04-22,72.79,141.84,77.06,39.28,0.83,76.7,-2.87,27.6,1.8,291,Dangerous
Dubai,UAE,2023-03-19,149.55,157.39,38.41,1.92,1.37,125.2,0.93,23.22,14.05,598,Dangerous
Beijing,China,2023-04-01,132.64,168.25,13.72,2.52,7.69,58.2,6.06,11.75,18.02,531,Dangerous
Rio de Janeiro,Brazil,2023-03-15,120.63,20.97,7.55,9.83,4.81,115.69,12.44,74.14,10.55,483,Dangerous
Johannesburg,South Africa,2023-08-06,5.02,67.31,95.31,27.88,0.49,157.86,-6.51,65.29,14.27,135,Unhealthy
Beijing,China,2023-07-14,91.38,91.91,87.97,5.1,1.54,76.66,0.77,40.1,13.87,366,Dangerous
Cairo,Egypt,2023-11-20,57.33,141.95,18.17,37.32,6.81,184.8,-7.07,32.94,0.9,284,Dangerous
Johannesburg,South Africa,2023-04-28,75.17,77.62,91.82,35.39,2.92,126.47,20.72,64.65,18.45,301,Dangerous
Rio de Janeiro,Brazil,2023-02-02,131.01,160.2,46.8,6.16,4.64,188.29,-1.97,98.11,1.36,524,Dangerous
London,UK,2023-03-17,149.92,20.57,15.99,8.28,8.14,62.76,23.64,33.09,5.02,600,Dangerous
Berlin,Germany,2023-06-28,69.46,108.53,57.25,27.97,9.86,149.74,24.66,26.45,13.9,278,Dangerous
Johannesburg,South Africa,2023-10-04,16.79,12.77,80.52,17.19,5.81,132.55,38.98,92.03,15.94,67,Poor
Sydney,Australia,2023-12-01,112.67,108.11,74.08,9.16,2.76,128.82,17.22,47.86,10.13,451,Dangerous
Dubai,UAE,2023-01-13,93.75,101.7,69.65,12.48,5.21,78.76,-3.06,55.99,4.34,375,Dangerous
Beijing,China,2023-09-03,107.12,24.35,77.52,37.64,9.27,154.54,8.04,60.74,16.66,428,Dangerous
Bangkok,Thailand,2023-05-25,60.06,193.26,17.16,48.13,9.88,21.52,35.75,11.0,1.13,387,Dangerous
Paris,France,2023-03-16,46.99,170.71,47.22,28.4,5.91,126.78,-4.51,79.61,1.0,341,Dangerous
Mexico City,Mexico,2023-07-22,25.1,50.42,23.82,17.54,6.47,29.79,34.86,41.15,13.74,101,Unhealthy
Paris,France,2023-02-05,136.73,198.73,94.41,37.9,8.18,187.01,31.69,73.09,19.93,547,Dangerous
Tokyo,Japan,2023-02-06,130.18,69.13,27.06,18.74,9.49,99.26,32.75,90.89,2.65,521,Dangerous
Mumbai,India,2023-11-13,50.27,114.71,60.56,21.8,3.56,58.38,37.23,32.97,6.56,229,Dangerous
Sydney,Australia,2023-04-08,62.76,29.99,81.55,27.87,4.17,58.52,7.81,30.91,12.4,251,Dangerous
Toronto,Canada,2023-02-28,7.19,165.62,46.37,29.77,7.81,99.91,8.12,55.09,4.63,331,Dangerous
Mumbai,India,2023-09-18,43.97,190.82,93.08,40.42,8.73,151.99,2.75,19.47,12.24,382,Dangerous
Paris,France,2023-12-24,127.01,25.98,7.93,14.69,8.39,91.11,5.51,28.97,12.08,508,Dangerous
Dubai,UAE,2023-01-07,141.39,128.93,35.03,12.23,4.35,158.69,30.07,18.87,2.83,566,Dangerous
Cairo,Egypt,2023-10-10,115.79,173.97,77.99,48.91,3.86,113.12,4.71,85.75,4.21,463,Dangerous
Paris,France,2023-03-09,84.92,71.46,89.19,39.36,2.62,181.14,21.68,43.41,7.22,340,Dangerous
Tokyo,Japan,2023-11-28,42.72,39.03,70.33,37.51,6.77,183.92,6.5,28.97,14.88,171,Dangerous
Beijing,China,2023-07-03,119.23,187.8,41.14,31.42,9.95,55.37,24.42,79.99,6.7,477,Dangerous
Paris,France,2023-05-25,53.8,82.59,84.86,39.72,2.25,194.54,19.03,89.58,11.36,215,Dangerous
Bangkok,Thailand,2023-03-19,54.08,164.49,89.75,1.59,7.51,10.82,4.44,42.5,7.36,329,Dangerous
Moscow,Russia,2023-01-04,81.31,62.56,40.54,46.76,8.69,102.4,21.34,77.0,7.08,325,Dangerous
Mumbai,India,2023-12-01,97.67,163.55,56.7,44.62,7.24,69.44,3.87,89.57,15.53,391,Dangerous
Tokyo,Japan,2023-05-06,106.07,23.61,77.04,5.17,1.6,10.93,29.3,97.41,13.54,424,Dangerous
Cairo,Egypt,2023-02-05,143.64,127.84,11.95,11.85,3.56,104.11,9.55,41.84,6.19,575,Dangerous
Madrid,Spain,2023-05-24,139.66,177.54,96.18,27.71,3.62,79.36,3.37,54.42,14.25,559,Dangerous
Mexico City,Mexico,2023-07-23,79.03,154.86,79.9,48.06,0.79,197.25,27.11,85.47,17.21,316,Dangerous
Mumbai,India,2023-04-08,43.97,161.41,94.88,25.22,0.96,110.01,27.01,85.8,8.27,323,Dangerous
Sydney,Australia,2023-12-02,67.37,163.13,91.99,13.66,2.46,187.31,-3.36,66.33,2.41,326,Dangerous
Paris,France,2023-07-11,88.38,167.64,66.24,6.72,8.73,124.83,27.4,53.26,7.73,354,Dangerous
Beijing,China,2023-09-28,111.84,177.35,5.96,43.56,6.43,85.36,23.27,74.84,15.74,447,Dangerous
Bangkok,Thailand,2023-07-19,97.82,81.96,34.17,35.14,4.78,173.14,4.46,87.74,5.15,391,Dangerous
Rio de Janeiro,Brazil,2023-02-04,20.15,19.08,77.43,37.66,1.38,178.49,15.27,23.97,8.93,81,Poor
Toronto,Canada,2023-05-25,118.27,14.44,58.67,4.21,6.53,103.54,-3.29,57.03,11.58,473,Dangerous
Seoul,South Korea,2023-02-20,112.36,106.42,54.99,24.85,1.36,44.18,-8.54,64.34,1.93,449,Dangerous
Mumbai,India,2023-05-12,46.6,118.7,87.64,18.84,9.75,86.82,14.27,27.44,5.8,237,Dangerous
Cairo,Egypt,2023-06-18,113.15,115.77,68.88,24.56,9.18,147.96,32.94,79.43,4.93,453,Dangerous
Johannesburg,South Africa,2023-09-23,88.58,149.13,57.88,28.71,1.96,88.45,10.78,26.45,14.48,354,Dangerous
Cairo,Egypt,2023-09-28,100.18,91.87,29.63,18.81,0.94,126.12,19.03,68.08,10.95,401,Dangerous
Tokyo,Japan,2023-07-08,79.81,85.87,73.02,42.5,1.35,164.58,19.39,24.29,10.8,319,Dangerous
Toronto,Canada,2023-05-15,27.33,27.58,22.98,38.89,0.8,144.19,31.53,58.39,7.13,109,Unhealthy
Johannesburg,South Africa,2023-10-07,132.92,118.86,73.31,33.94,7.75,117.12,24.4,85.3,5.31,532,Dangerous
Sydney,Australia,2023-06-13,47.73,34.33,26.94,32.45,7.66,34.27,24.68,48.99,2.4,191,Dangerous
Dubai,UAE,2023-11-25,140.5,190.83,34.97,39.68,9.59,99.55,4.85,90.88,8.5,562,Dangerous
Paris,France,2023-05-24,6.57,14.97,37.15,21.73,6.05,165.54,-9.08,10.95,8.68,47,Moderate
Rio de Janeiro,Brazil,2023-06-01,65.33,82.34,69.0,2.19,9.84,174.12,3.37,63.39,8.84,261,Dangerous
Istanbul,Turkey,2023-04-22,93.84,34.19,79.49,44.54,5.18,183.62,10.58,30.48,14.45,375,Dangerous
Madrid,Spain,2023-06-26,141.68,43.15,86.92,5.01,9.58,137.93,9.36,33.11,14.35,567,Dangerous
Moscow,Russia,2023-12-04,28.56,107.91,63.14,34.44,4.36,188.74,15.11,78.32,3.53,216,Dangerous
Istanbul,Turkey,2023-08-07,92.45,14.43,19.86,12.07,4.09,111.27,37.07,39.45,13.84,370,Dangerous
Sydney,Australia,2023-08-26,119.29,34.86,93.11,20.66,7.48,29.78,25.94,29.23,2.12,477,Dangerous
Beijing,China,2023-03-06,85.0,110.26,23.84,11.73,0.97,81.14,2.25,18.88,10.96,340,Dangerous
Mexico City,Mexico,2023-05-12,131.09,36.62,56.77,11.01,3.84,105.76,18.65,99.6,3.04,524,Dangerous
Beijing,China,2023-03-22,23.7,173.37,52.61,15.17,2.96,125.32,6.98,35.69,1.59,347,Dangerous
Bangkok,Thailand,2023-04-14,32.16,16.54,45.5,28.18,7.72,92.47,23.66,12.98,8.95,129,Unhealthy
Tokyo,Japan,2023-01-11,27.93,157.9,60.72,49.44,1.73,185.9,-8.03,77.33,15.42,316,Dangerous
Cairo,Egypt,2023-08-13,68.96,40.4,11.18,18.54,2.83,102.52,27.08,85.48,6.15,276,Dangerous
Beijing,China,2023-10-17,101.72,193.65,75.25,36.11,6.95,95.07,-7.46,39.8,16.54,407,Dangerous
Istanbul,Turkey,2023-07-01,54.46,145.6,52.89,33.5,6.08,36.15,6.4,36.75,10.13,291,Dangerous
Berlin,Germany,2023-01-20,46.45,47.95,22.98,24.23,2.67,99.4,4.19,37.21,13.9,186,Dangerous
Istanbul,Turkey,2023-10-27,20.97,152.92,28.24,10.92,1.26,40.09,10.85,65.63,6.57,306,Dangerous
Cairo,Egypt,2023-04-25,14.06,16.59,9.03,11.89,9.16,167.53,32.51,63.11,8.63,56,Moderate
Moscow,Russia,2023-09-18,110.68,157.8,12.16,17.36,2.55,89.79,13.47,38.16,1.46,443,Dangerous
Mumbai,India,2023-06-03,37.55,12.43,5.37,15.89,7.31,44.88,2.3,42.51,13.17,150,Unhealthy
Bangkok,Thailand,2023-09-20,124.54,45.96,45.66,14.08,6.59,155.85,13.77,89.83,16.07,498,Dangerous
Sydney,Australia,2023-09-11,101.56,80.52,90.83,43.48,8.99,31.87,-5.72,42.51,17.64,406,Dangerous
Johannesburg,South Africa,2023-12-22,63.68,136.14,74.55,30.18,1.71,44.81,16.44,85.77,3.71,272,Dangerous
Seoul,South Korea,2023-10-19,109.42,46.59,80.09,35.92,6.35,146.76,27.58,58.72,10.72,438,Dangerous
Madrid,Spain,2023-10-20,32.96,144.76,65.85,16.43,2.68,128.52,11.29,33.97,13.33,290,Dangerous
Berlin,Germany,2023-02-20,71.9,80.05,79.62,40.46,6.9,185.84,38.18,64.11,8.46,288,Dangerous
Mexico City,Mexico,2023-01-12,44.36,54.77,23.51,20.94,9.15,54.72,20.55,84.4,0.86,177,Dangerous
Rio de Janeiro,Brazil,2023-04-14,81.17,74.48,82.95,18.22,5.61,28.71,9.21,85.66,17.9,325,Dangerous
Mumbai,India,2023-04-04,92.97,56.57,12.48,39.9,6.68,187.4,15.39,92.17,15.62,372,Dangerous
Rio de Janeiro,Brazil,2023-10-13,135.59,152.18,80.08,41.9,7.42,157.19,-9.44,38.57,2.25,542,Dangerous
Seoul,South Korea,2023-09-03,108.45,150.62,26.54,33.42,3.66,26.07,-8.85,28.52,7.85,434,Dangerous
Dubai,UAE,2023-01-25,41.9,70.82,80.77,22.07,8.63,97.38,36.46,66.36,14.05,168,Dangerous
Los Angeles,USA,2023-11-12,49.99,180.29,26.01,13.75,7.9,156.41,29.89,48.5,2.21,361,Dangerous
Johannesburg,South Africa,2023-11-21,49.26,128.21,62.2,1.29,8.63,156.88,-0.27,32.09,11.76,256,Dangerous
Madrid,Spain,2023-12-06,48.41,90.08,30.52,3.27,9.58,92.79,4.96,29.27,17.85,194,Dangerous
London,UK,2023-10-23,10.47,24.16,47.09,16.26,9.48,23.32,34.95,52.44,19.34,48,Moderate
Cairo,Egypt,2023-02-12,45.19,59.25,8.83,29.95,7.7,86.56,2.93,27.61,16.63,181,Dangerous
Johannesburg,South Africa,2023-11-18,19.28,64.74,98.86,33.91,6.59,110.99,-2.66,60.11,19.71,129,Unhealthy
Los Angeles,USA,2023-10-15,9.86,157.51,97.75,20.33,5.34,43.91,-5.11,97.68,7.85,315,Dangerous
Tokyo,Japan,2023-10-06,54.71,122.26,7.26,33.85,7.41,13.02,10.92,59.82,7.99,245,Dangerous
Cairo,Egypt,2023-06-23,54.89,91.81,26.77,42.68,6.51,71.0,15.94,64.6,10.68,220,Dangerous
Berlin,Germany,2023-04-17,33.26,85.2,68.16,48.63,5.94,194.49,9.15,48.35,15.57,170,Dangerous
Mexico City,Mexico,2023-03-16,30.07,98.19,82.7,7.18,6.44,179.82,23.62,92.79,5.34,196,Dangerous
Sydney,Australia,2023-12-19,54.86,51.85,77.44,15.79,1.85,137.25,18.41,77.36,3.58,219,Dangerous
Paris,France,2023-09-06,51.51,184.92,29.08,41.52,4.18,64.67,16.57,14.2,12.75,370,Dangerous
Los Angeles,USA,2023-01-25,73.82,69.93,29.96,26.07,5.91,162.92,38.41,88.23,4.84,295,Dangerous
Los Angeles,USA,2023-11-25,148.96,189.43,21.4,36.78,3.83,118.17,-4.69,68.41,12.74,596,Dangerous
Mumbai,India,2023-03-27,70.29,55.34,80.26,13.7,7.82,74.57,-4.75,14.3,17.33,281,Dangerous
Paris,France,2023-09-15,112.57,194.79,85.83,6.21,2.73,134.58,10.78,96.91,13.37,450,Dangerous
Moscow,Russia,2023-02-25,22.13,11.47,71.59,46.64,6.1,34.82,-2.95,96.13,10.72,89,Poor
New York,USA,2023-12-21,130.03,78.72,17.15,29.72,2.88,60.28,7.41,30.04,17.76,520,Dangerous
Mumbai,India,2023-07-13,85.5,19.89,43.24,22.77,5.55,52.21,20.09,44.03,14.81,342,Dangerous
Toronto,Canada,2023-02-15,70.1,148.1,73.82,40.65,3.78,128.55,38.57,64.95,0.88,296,Dangerous
Tokyo,Japan,2023-08-26,46.14,192.82,61.9,38.41,6.07,101.84,21.62,17.61,2.36,386,Dangerous
Rio de Janeiro,Brazil,2023-09-15,43.37,70.88,65.72,44.08,6.58,178.68,25.65,36.05,14.93,173,Dangerous
Dubai,UAE,2023-12-09,10.61,131.28,73.86,2.37,6.78,115.99,-7.44,18.75,6.39,263,Dangerous
Beijing,China,2023-01-13,74.26,162.1,76.71,22.36,6.5,10.04,16.71,86.93,18.52,324,Dangerous
Rio de Janeiro,Brazil,2023-09-02,91.44,76.78,38.09,21.45,7.82,92.04,11.45,58.41,15.46,366,Dangerous
Berlin,Germany,2023-04-18,132.37,68.78,64.88,15.05,2.08,25.05,30.93,59.43,12.14,529,Dangerous
Los Angeles,USA,2023-01-06,17.22,41.13,93.67,16.96,3.25,72.37,15.88,15.04,2.43,82,Poor
Dubai,UAE,2023-04-19,55.56,195.33,86.68,37.68,5.98,175.37,19.12,12.07,12.68,391,Dangerous
Seoul,South Korea,2023-02-03,30.07,186.88,6.42,5.0,0.67,60.8,25.12,54.04,17.51,374,Dangerous
Mexico City,Mexico,2023-10-10,77.47,63.93,30.11,8.77,0.78,167.48,29.74,45.6,11.98,310,Dangerous
Rio de Janeiro,Brazil,2023-01-02,87.74,152.86,6.42,46.4,8.3,37.71,7.21,64.05,5.08,351,Dangerous
Johannesburg,South Africa,2023-11-23,48.33,20.04,66.01,10.39,4.54,147.88,10.52,80.77,15.58,193,Dangerous
London,UK,2023-08-28,138.95,178.92,53.15,5.0,2.0,160.46,-8.42,57.02,8.61,556,Dangerous
Mumbai,India,2023-07-19,25.04,25.67,92.23,13.21,5.21,138.1,11.81,60.44,4.15,100,Unhealthy
Johannesburg,South Africa,2023-06-28,65.42,121.41,12.34,16.66,7.39,67.4,4.44,61.48,0.91,262,Dangerous
New York,USA,2023-09-23,60.56,98.74,6.12,1.47,4.7,112.58,9.45,42.0,8.63,242,Dangerous
Berlin,Germany,2023-12-26,128.26,91.79,44.2,13.7,1.22,190.85,4.21,10.43,6.0,513,Dangerous
Los Angeles,USA,2023-11-17,139.17,194.01,44.62,6.44,9.29,151.63,23.41,61.08,14.89,557,Dangerous
Beijing,China,2023-08-15,94.69,23.73,20.59,39.48,2.66,155.29,14.27,29.23,18.91,379,Dangerous
Johannesburg,South Africa,2023-11-14,32.23,194.24,43.97,9.66,9.04,76.68,-7.12,76.83,5.73,388,Dangerous
Rio de Janeiro,Brazil,2023-07-27,11.72,113.74,32.09,7.6,8.58,113.97,1.48,32.61,19.78,227,Dangerous
Madrid,Spain,2023-09-05,53.34,30.58,30.89,7.8,9.04,157.86,18.83,72.92,13.34,213,Dangerous
Toronto,Canada,2023-10-21,33.39,59.24,7.36,24.89,2.0,87.79,32.74,47.67,5.16,134,Unhealthy
Seoul,South Korea,2023-09-17,61.46,175.77,18.61,1.0,1.41,14.17,31.5,23.06,13.43,352,Dangerous
Los Angeles,USA,2023-04-13,17.98,60.36,8.17,49.44,6.41,116.31,13.39,81.26,6.21,121,Unhealthy
Mumbai,India,2023-01-09,101.58,78.03,30.44,4.11,1.11,192.05,-5.12,52.85,4.16,406,Dangerous
Tokyo,Japan,2023-11-19,41.98,57.65,34.62,22.36,5.33,160.85,15.51,35.73,10.97,168,Dangerous
New York,USA,2023-08-21,130.71,29.34,70.09,26.77,8.54,168.05,12.68,81.02,9.32,523,Dangerous
Dubai,UAE,2023-12-12,118.85,178.97,26.86,12.99,1.83,139.57,30.3,44.17,10.94,475,Dangerous
Tokyo,Japan,2023-10-11,103.63,31.91,94.61,23.65,2.47,111.07,24.08,67.28,8.78,415,Dangerous
Rio de Janeiro,Brazil,2023-04-22,82.35,90.7,89.15,20.74,1.91,196.81,-4.73,13.06,12.78,329,Dangerous
Mexico City,Mexico,2023-07-15,143.9,131.99,61.54,1.05,0.74,36.13,13.76,14.88,0.53,576,Dangerous
Berlin,Germany,2023-07-18,104.9,55.8,78.86,39.69,2.14,107.14,2.7,65.38,9.73,420,Dangerous
Dubai,UAE,2023-09-13,89.88,79.37,90.12,49.57,0.24,172.14,16.3,28.58,3.79,360,Dangerous
Sydney,Australia,2023-12-17,135.97,57.67,50.72,42.81,5.53,144.49,39.45,10.65,4.21,544,Dangerous
Dubai,UAE,2023-11-10,136.05,54.18,23.38,12.23,6.52,138.05,19.47,87.37,14.45,544,Dangerous
Mumbai,India,2023-05-08,48.67,83.67,74.91,18.07,5.78,124.0,36.15,74.6,16.86,195,Dangerous
Madrid,Spain,2023-08-07,100.53,70.13,48.72,35.18,2.82,129.38,5.83,98.28,8.23,402,Dangerous
Dubai,UAE,2023-06-13,6.23,72.92,54.0,4.16,4.94,85.8,-9.78,20.96,10.37,146,Unhealthy
Istanbul,Turkey,2023-05-09,117.54,50.04,16.41,41.72,1.17,94.94,6.89,30.78,4.93,470,Dangerous
London,UK,2023-12-08,101.17,102.54,82.82,35.56,5.01,32.91,21.04,26.52,12.57,405,Dangerous
Los Angeles,USA,2023-01-26,29.41,104.17,16.3,43.05,7.3,193.3,33.07,24.47,7.54,208,Dangerous
Seoul,South Korea,2023-07-06,68.51,57.65,70.28,36.36,7.17,189.39,-5.55,12.07,12.64,274,Dangerous
Sydney,Australia,2023-11-27,62.4,163.59,69.33,41.71,4.27,187.05,27.57,66.85,12.22,327,Dangerous
Dubai,UAE,2023-01-25,43.05,101.37,70.8,43.73,4.69,193.16,31.45,39.74,16.51,203,Dangerous
New York,USA,2023-01-19,32.43,66.64,76.52,21.62,6.69,50.16,8.84,61.13,2.66,133,Unhealthy
Cairo,Egypt,2023-05-04,54.72,176.86,92.55,43.2,3.36,41.95,9.05,37.73,2.77,354,Dangerous
Beijing,China,2023-12-13,46.69,77.28,42.01,49.06,4.52,186.29,24.46,68.4,15.35,187,Dangerous
London,UK,2023-06-16,90.2,73.98,27.95,21.71,5.24,107.5,32.59,65.91,4.4,361,Dangerous
Berlin,Germany,2023-08-21,75.95,187.3,95.78,32.14,6.16,196.17,30.57,61.93,9.44,375,Dangerous
Los Angeles,USA,2023-10-01,49.39,114.29,59.27,21.62,4.66,108.21,27.92,65.76,2.89,229,Dangerous
Moscow,Russia,2023-04-17,132.2,129.64,65.5,28.44,7.86,104.95,7.09,29.15,8.25,529,Dangerous
Seoul,South Korea,2023-09-16,48.05,100.48,46.28,34.83,0.73,47.61,-4.65,10.57,2.96,201,Dangerous
Berlin,Germany,2023-12-04,61.74,189.24,50.04,49.49,3.25,97.38,26.58,36.6,3.23,378,Dangerous
Dubai,UAE,2023-03-23,73.06,198.13,78.31,6.02,1.48,132.54,-1.1,54.61,2.08,396,Dangerous
Mumbai,India,2023-10-02,149.38,106.41,32.81,23.98,7.57,149.98,8.09,73.26,9.45,598,Dangerous
Beijing,China,2023-06-09,19.93,138.85,80.33,12.74,4.92,154.25,-4.62,17.5,4.77,278,Dangerous
Los Angeles,USA,2023-11-22,126.54,18.64,15.82,31.71,9.12,16.57,37.36,19.96,5.68,506,Dangerous
Paris,France,2023-07-16,13.79,189.71,54.45,21.34,0.98,34.34,12.47,24.01,7.72,379,Dangerous
Sydney,Australia,2023-06-17,44.85,19.14,12.94,4.63,0.1,12.56,9.6,79.16,13.88,179,Dangerous
